id,userguid,username,name,description,type,range,value,weight,curseId,effectValue,damage,armorSlot,effectOn,effectToPc,effectToPcValue,weaponEffectType,weaponEffectColor,imageId,imageName,imagePath,imageAssetType,imageIsPublic,imageIsActive,soundId,soundName,soundPath,soundAssetType,soundIsPublic,soundIsActive,isPublic,isTwoHanded,uses,createdAt,updatedAt
33,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Abacus,Adventuring Gear.,other,1,2,2,,0,0,,,,0,Blood,#cc0000,696,item-33-abacus.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-33-abacus.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:11.825403-05,2026-05-20 11:04:11.825403-05
34,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Acid (vial),"As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon.",other,4,25,1,,0,6,,,,0,Blood,#cc0000,41,Potion Green,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776211693488-6384b893-potions4.jpg,Potion,true,true,,,,,,,true,false,1,2026-05-20 11:04:11.952605-05,2026-05-21 17:41:48.580307-05
224,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Adamantine Armor,"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.",armor,1,500,1,,1,0,body,,,0,Blood,#cc0000,37,Leather Armor,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776738578503-c579e826-leatherbrestplate.jpg,Item-Armor,true,true,,,,,,,true,false,,2026-05-20 11:48:09.572433-05,2026-05-21 17:47:36.106625-05
313,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Air Elemental Gem,"This blue sapphire contains a mote of elemental energy. When you use an action to break the gem, an air elemental is summoned as if you had cast the conjure elemental spell, and the gem's magic is lost.",other,1,500,1,,0,0,,,,0,Arcane,#8800cc,72,Blue gem stonr,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1778123738823-bb5e0c69-blue-gem-stonr.png,Item-Gem,true,true,,,,,,,false,false,,2026-05-20 11:48:19.964624-05,2026-05-21 17:41:48.651424-05
35,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Alchemist's fire (flask),"This sticky, adhesive fluid ignites when exposed to air.",other,1,50,1,,0,0,,,,0,Blood,#cc0000,42,Potion Red,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776211773561-2c014a6f-potions2.jpg,Potion,true,true,,,,,,,false,false,,2026-05-20 11:04:12.030803-05,2026-05-21 17:41:48.581944-05
36,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Alchemist's Supplies,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.",other,1,50,8,,0,0,,,,0,Blood,#cc0000,41,Potion Green,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776211693488-6384b893-potions4.jpg,Potion,true,true,,,,,,,false,false,,2026-05-20 11:04:12.139811-05,2026-05-21 17:41:48.583365-05
37,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Alms box,"A small box for alms, typically found in a priest's pack.",other,1,1,0,,0,0,,,,0,Blood,#cc0000,697,item-37-alms-box.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-37-alms-box.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:12.25461-05,2026-05-20 11:04:12.25461-05
38,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Amulet,"A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic.",other,1,5,1,,0,0,,,,0,Blood,#cc0000,698,item-38-amulet.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-38-amulet.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:12.380949-05,2026-05-20 11:04:12.380949-05
26,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Amulet of Defense,An enchanted amulet that strengthens your defenses.,necklace,0,35,0,,0,0,,,AC,3,Blood,#cc0000,49,Blue Magic Stone,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776520054135-ee263bff-blue-magic-stone.jpg,Item-Gem,true,true,,,,,,,true,false,,2026-04-26 16:03:07.994877-05,2026-05-02 10:37:12.306184-05
228,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Amulet of Health,Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution is already 19 or higher,other,1,5000,1,,0,0,,,,0,Arcane,#8800cc,803,item-228-amulet-of-health.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-228-amulet-of-health.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:10.021722-05,2026-05-20 11:48:10.021722-05
